id,latitude,longitude
4441996,49.775506111,18.450683305
4442021,49.563188611,15.946509388
4445468,49.445366888,12.927449694
4445470,49.712540305,12.773684694
4447573,49.165531888,16.561896694
4448494,49.094976111,15.890498111
4449200,49.309914694,17.475878888
4449211,49.402228611,15.601715805
4450249,49.915304972,16.611225833
4452846,50.101134194,14.507791388
4452851,50.772938305,14.185516888
4452852,49.339879194,17.989511111
4452853,49.334408305,18.012837194
4452859,50.148476694,16.068105
4453014,50.051607194,15.754184694
4453166,50.101798888,14.519595305
4453578,49.162266111,16.639301888
4453581,50.111911111,14.578148305
4453582,50.179570305,15.801545
4453583,50.651111111,14.012222194
4453584,49.591388805,17.3380555
4453586,49.016470805,14.491637805
4453587,49.204063888,17.564465
4453588,50.218611111,12.8025
4454145,49.966620611,16.409729388
4454146,49.222230305,16.642718611
4455105,49.791626694,18.2464975
4455107,49.800864194,18.235209694
4455108,49.731988111,18.619823305
4455109,49.164473611,17.5180125
4455110,49.205348111,17.583978888
4455111,49.856040305,18.540821694
4455112,49.870904388,18.425684694
4455113,49.666861888,18.677911111
4455312,49.483810611,17.12858
4455316,49.720277694,17.29
4455597,49.726583888,13.390376888
4455598,49.720897805,13.402541388
4455599,49.44456,14.36622
4455844,49.826379194,18.1796775
4455846,49.8261875,18.243398111
4455850,49.542316694,18.206058888
4455852,50.010669694,14.401121111
4455978,50.647778111,13.853335611
4456105,50.42555,15.81029
4456226,49.217407805,17.516075611
4456233,50.074060805,14.402173111
4456943,50.042246888,14.459594611
4456951,50.033873111,15.760000611
4456954,49.850464388,18.549479694
4456955,49.847794194,18.560234388
4456956,49.867644194,18.559155305
4456957,49.824686388,18.167116388
4456958,49.669440611,18.675423888
4456959,49.952852805,18.0792175
4457918,50.679394694,14.103403888
4457923,50.634838111,13.803591388
4470923,50.177245,15.045924694
4470926,50.017263888,15.206938305
4471965,49.611471694,15.575541888
4471966,50.050100611,15.770376694
4472191,49.771306888,17.115049194
4472308,50.565681888,15.924819194
4472333,49.951747805,16.1456275
4472505,50.073287805,14.849759694
4472506,50.354190305,14.483956305
4472508,49.296470611,14.144325805
4472517,49.593596694,18.3592275
4472531,50.126247388,14.118744805
4472940,49.779112194,13.370259388
4473168,50.668406888,14.075791694
4473169,49.578493111,17.239547805
4473520,50.068548305,14.453575805
4474587,49.03706,17.810296888
4474588,50.4352365,15.368703805
4474589,50.350240805,15.922090305
4474590,50.069393111,15.682456388
4474591,50.035349388,15.412548111
4474596,50.002940805,14.658352194
4474606,49.465230305,18.127338111
4474889,49.272975805,16.992683611
4475233,49.711660194,15.663009888
4476190,49.738902194,18.619664388
4476191,49.943333305,16.166666611
4476192,49.979,16.402546888
4476193,50.947276305,14.558042305
4476194,50.598746194,15.327224194
4476231,49.557605,17.750711
4476234,50.367938888,15.635307194
4476677,49.781289194,18.222357805
4476848,50.304133888,12.946174694
4476854,50.457033888,13.396071111
4476857,50.682344194,14.026954694
4476859,49.923912805,14.259986888
4482089,50.676881388,14.031120305
4482526,49.463916388,18.091338111
4482527,49.079813194,17.88719525
4482529,48.780192111,16.90202925
4482530,50.144649222,13.965767416
4482531,48.852265305,17.119549222
4482532,50.036606666,15.753085638
4482535,50.405255305,16.162446694
4482542,50.667975611,14.040349194
4483336,49.890045611,18.193354194
4483346,49.070194388,17.463713111
4483856,48.857585,17.136000611
4483860,50.06545,16.92718
4484040,48.983951111,14.472405305
4484042,50.495857388,13.656598805
4486034,49.166941888,16.575251388
4486036,50.383817805,13.265641388
4486226,49.712043611,13.196841111
4486963,50.099866694,15.1878725
4486969,48.896449694,14.448470805
4486973,49.396648611,14.685758305
4486974,48.991013361,14.474290472
4487130,48.830034388,14.462369194
4487134,50.032049083,15.189815694
4487135,49.302486222,14.476074222
4487552,50.242688611,12.830665
4487564,50.105358611,13.724096388
4487806,50.661152194,14.722375805
4487938,49.764848611,15.910527194
4487946,49.224842416,16.537882666
4487953,50.107207805,14.401539388
4488077,50.032857194,14.5186775
4488078,51.005123916,14.454196472
4488419,48.866864388,16.044563611
4488785,50.514611388,13.630381388
4489581,49.396643194,15.6102735
4489583,49.774447805,13.361310805
4489710,50.16896,14.427301388
4490081,49.759821388,16.460799194
4490371,50.411706305,14.93408525
4490505,49.322237194,13.7023125
4490518,50.109700305,14.476479694
4491782,49.641577194,18.151055611
4491783,49.839910611,18.281515
4491785,50.039397805,14.720108611
4491789,50.204158888,14.688566388
4491794,49.943595611,14.431996388
4491883,49.063381888,14.366033111
4492418,50.748188888,15.0697375
4492419,50.405062805,14.893369694
4492420,49.409620611,14.686988611
4492430,49.954006694,15.779775305
4492431,50.911743305,14.625803305
4492433,50.537156694,14.124774194
4492773,49.989729694,14.741885805
4492778,49.775331388,18.249563305
4492780,49.292790611,17.406053111
4492781,49.200054194,16.613083611
4492974,50.783351888,14.153733111
4493123,49.1431085,15.023116833
4493506,49.699614388,18.220926888
4493507,49.635306888,18.315734194
4493508,49.836140805,13.906195305
4493698,49.596930305,15.579227805
4493711,49.861130305,18.55241
4493818,49.9230725,17.912414194
4493819,49.919295805,17.911521694
4493820,49.938003305,17.911511694
4493834,49.523518111,16.259696111
4493836,49.712790277,18.05482925
4493837,49.601501277,18.006357972
4494023,49.165351888,13.886379388
4494314,49.796203111,14.248233111
4494423,49.888889388,16.030011111
4494424,49.290379388,15.48286
4494529,49.544632194,18.215425
4494530,49.222803611,17.71868
4494531,49.984805305,18.052867805
4494532,49.600316694,18.142276694
4494551,50.084390805,14.406437805
4494939,49.441371388,14.363568305
4494941,49.281095305,17.008126388
4494970,49.753927805,16.483076
4495093,49.484455277,17.963837777
4495316,49.62245,17.397599194
4495317,49.860245805,18.543179388
4495318,50.392187805,17.004704388
4495320,49.465634694,18.136788888
4495323,50.2271425,14.879244694
4495326,49.9562375,15.799790805
4495327,50.104298611,14.49079
4495329,49.198910611,17.536204194
4495331,50.183309388,12.550669388
4495334,49.749329194,13.418010611
4495337,49.4350775,13.881928611
4495348,50.580067805,15.151795611
4495764,50.544986111,13.769185305
4496072,49.912751388,18.009475305
4496077,49.9020775,18.350886111
4496078,49.185730305,17.660265805
4496080,49.221271888,17.847675305
4496220,49.760182805,18.017383888
4496222,49.591787805,13.103896111
4496323,49.9461825,17.013261888
4496332,49.804291111,18.243511388
4496486,50.074771694,14.325450805
4496641,49.201323888,17.6551575
4496643,49.313126111,17.469970611
4498886,49.825459194,18.156756694
4498906,49.078604694,18.017734694
4500931,50.965910611,14.361754194
4503897,49.778525805,18.170454194
4504013,49.227961111,16.531332194
4504031,50.717459388,15.315541694
4504046,50.738551111,15.2454175
4504047,50.625173888,13.6910125
4504121,50.0640325,15.22833
4504124,49.736164694,13.756116388
4504125,50.270261888,12.783173305
4504135,50.212063611,12.743676388
4504567,49.968479388,14.515168888
4504635,50.404879388,14.129053611
4504647,50.075973611,14.864510611
4504649,50.030290611,14.204708305
4504847,50.201247805,15.991709694
4504848,50.076854388,16.1335375
4504849,49.549345305,18.380145
4504850,49.851569694,18.283484194
4504851,49.641105,17.988497805
4504852,49.786468111,18.131994194
4504853,49.235786888,17.670313111
4504859,49.632758305,16.7136275
4504861,49.754516388,18.012150805
4504862,49.764677805,17.111496111
4505154,49.602631694,17.25155
4505156,49.772884388,16.918184194
4505378,50.038641888,14.322974388
4505380,49.5882775,17.284620305
4505843,50.012961888,14.433851694
4505846,50.048265305,14.340972805
4505848,50.097216694,14.480158111
4505988,50.028084194,14.508166388
4505989,49.699376388,15.814906388
4506118,50.106233111,16.2606875
4506124,49.223575611,17.511954194
4506126,48.989658611,17.330241888
4506128,50.308751388,14.515768888
4506138,49.753622194,12.990609694
4506139,48.879771888,17.514594
4506368,49.037734194,16.617605305
4506370,50.029580805,15.190372805
4506719,50.203816694,15.834262194
4506720,48.905023111,14.304515
4506721,49.142893111,14.182324388
4506899,50.101285,14.447673611
4506906,49.841579694,18.267052805
4506907,49.8367275,18.263159388
4506908,49.780176888,17.755053111
4506909,49.726229194,18.193082805
4506912,49.384459694,17.950759194
4506914,49.332480805,17.9895325
4506916,49.726944388,17.286254388
4506919,49.982728305,17.460516694
4506929,49.825495805,16.330383611
4507029,49.8675825,14.642337805
4507030,50.056583888,14.402411888
4507034,48.770441694,14.971816694
4507048,50.131835305,13.313675305
4507180,49.848585,18.145306111
4507381,50.132529694,14.337076694
4532029,49.834248611,18.337628305
4532030,49.202951388,17.539801388
4532032,49.117974194,17.426671888
4532033,49.081069194,15.420020805
4532049,49.280774694,16.999144694
4532050,50.531333611,16.048448111
4532056,49.367119694,14.391081111
4532075,50.470940805,13.529070805
4532325,48.757026388,16.857615805000002
4533248,50.062301388,15.775101111
4533703,49.679068888,18.369910305
4533704,49.992176111,17.469850611
4533707,50.4424325,15.344072805
4533991,50.461069388,16.189600805
4533992,49.523770305,17.587958305
4533999,49.130182805,17.768682805
4534000,49.355062805,17.871325611
4534004,50.038226888,14.586254694
4535741,49.8268525,18.127740805
4535743,49.680790305,18.339155805
4535751,50.528033611,15.376976888
4535760,50.090385611,13.163290611
4535769,50.059948611,14.293532
4535780,49.072941888,16.464705
4535781,48.971783888,14.494481111
4535782,49.003547805,14.448980305
4535863,50.103065611,14.501924194
4535870,50.174432194,12.672380305
4535873,50.073034388,12.36842
4535877,50.071265611,14.388434388
4536560,49.635175805,18.140115305
4536564,50.607370805,13.741713611
4536565,50.645483611,13.822627194
4536568,50.072486388,15.982385
4536716,49.798946888,18.230196694
4536723,49.807726888,18.231566388
4536725,50.154240305,14.195913305
4536732,49.817213611,18.340618111
4536739,49.880400611,18.547523111
4537041,50.537106111,14.152040611
4537586,49.281484194,15.585695805
4538019,48.997918111,14.480418305
4538020,50.199003111,15.781520805
4538021,50.485949694,13.655509194
4538022,49.195239388,14.7147975
4538024,50.048586111,14.430924194
4538028,49.974368111,14.586626388
4538031,49.955831888,15.273045805
4538033,50.022916111,15.208207805
4538047,49.5515525,17.333968305
4538054,49.844303111,18.169670805
4538055,49.967985305,16.968800805
4538056,49.959093111,16.986668888
4538547,49.593125,18.014958888
4538548,49.768672194,18.312463888
4538557,49.142517805,15.67247
4538579,50.651536694,14.003273888
4539182,50.5420025,13.776649388
4539186,49.896913888,14.491851694
4539188,49.036996111,17.464030805
4539189,49.086585,17.338551388
4539190,49.253798305,17.497687805
4539194,49.136817805,15.010425805
4539366,49.003890805,14.760863611
4539367,49.01626,14.610362194
4539371,50.010143888,16.62354
4539372,50.781009694,15.420298888
4539375,50.761148111,15.051957805
4539380,49.014608111,14.495045805
4539392,50.590703888,13.565677194
4539417,50.734281388,15.159516388
4539955,50.3813675,13.109698611
4540498,49.153313111,16.34977
4540499,49.100171694,16.382491694
4540500,49.757978611,18.000223888
4540501,50.242001111,15.797080305
4540502,49.218912805,17.659587805
